Varenr;Varetekst;Tekst 2;Lokation;Leverandør;Beholdning;Prisfaktor;Gennemsnit;Lagerværdi;Genanskaffelse;Lagerværdi;Varegruppe;Undergruppe;Lagergruppe;Sidste Salgsdato;Sidste købsdato;Edbnr;Enhed;Type;Disponibel ;
96001;Klosterbryg Pilsner 50 cl; ;; ;240;00001;70;0;70;0;10;10;21;19-02-2026;07-12-2021;96001;STK ;P;240;
96002;Klosterbryg IPA 50 cl; ;; ;96;00001;70;0;70;0;10;10;21;19-02-2026;07-12-2021;96002;STK ;P;96;
96101;Klosterbryg Pilsner 30 l (kobling S); ;; ;12;00001;70;0;70;0;10;10;21;19-02-2026;07-12-2021;96101;STK ;P;12;
96102;Klosterbryg Stout 20 l (kobling A); ;; ;6;00001;70;0;70;0;10;10;21;19-02-2026;07-12-2021;96102;STK ;P;6;
32219;Westvletren 6 33 cl; ;; ;50;00001;70;0;70;0;10;10;21;19-02-2026;07-12-2021;32219;STK ;P;50;
49003;Ayinger Kellerbier; ;; ;5;00001;70;0;70;0;10;10;21;19-02-2026;07-12-2021;49003;STK ;P;5;
39901;Riviera Gin 47 %; ;; ;75;00001;70;0;70;0;10;10;21;19-02-2026;07-12-2021;39901;STK ;P;75;
73220;Westmalle 20l (kobling A); ;; ;60;00001;70;0;70;0;10;10;21;19-02-2026;07-12-2021;73220;STK ;P;60;
73904;Amarcord Volpina 20 l; ;; ;0;00001;70;0;70;0;10;10;21;19-02-2026;07-12-2021;73904;STK ;P;0;
74903;Ayinger Celebrator (kobling A); ;; ;50;00001;70;0;70;0;10;10;21;19-02-2026;07-12-2021;74903;STK ;P;50;
